Raspberry Pi编程指南 第2版 基于Python的游戏编程与机器人制作  用Python+树莓派开发游戏和制作机器人 , 41.70
流利的Python语言（影印版）   , 94.40
【预订】Python 9780321585448  美国库房发货，通常付款后5-8周到货！ , 282.00
【预订】Python 3 Object-Oriented Programming - Second Edition  美国库房发货，通常付款后5-8周到货！ , 614.00
预定原版 Scientific Computation: Python Hacking for Math Junkies [ISBN: 978-0692452004]  美国发货无法退货，约五到八周到货 , 265.00
预定原版 Scientific Computation: Python Hacking for Math Junkies [ISBN: 978-0692366936]  美国发货无法退货，约五到八周到货 , 270.00
【预订】Exploring Python  美国库房发货，通常付款后5-8周到货！ , 903.00
【预订】Python Graphics for Games 3: Working in 3 Dimensions: Object Creation and Animation with OpenGL   美国库房发货，通常付款后5-8周到货！ , 238.00
【预订】Python: Crash Course - The Ultimate Beginner's Course to Learning Python Programming in Under 12  美国库房发货，通常付款后5-8周到货！ , 96.00
【预订】The Python Killer: Stories of Nzema Life  美国库房发货，通常付款后5-8周到货！ , 557.00
【预订】The Medieval Python: The Purposive and Provocative Work of Terry Jones  美国库房发货，通常付款后5-8周到货！ , 737.00
【预订】The Python Standard Library by Example  美国库房发货，通常付款后5-8周到货！ , 481.00
【预订】Professional Python Frameworks  美国库房发货，通常付款后5-8周到货！ , 503.00
【预订】Geospatial Development by Example with Python  美国库房发货，通常付款后5-8周到货！ , 591.00
【预订】JavaScript: JavaScript and Python. the Ultimate Crash Course to Learn Python and JavaScript Prog  美国库房发货，通常付款后5-8周到货！ , 91.00
【预订】Python Game Programming by Example  美国库房发货，通常付款后5-8周到货！ , 484.00
【预订】Python Data Visualization Cookbook Second Edition  美国库房发货，通常付款后5-8周到货！ , 547.00
【预订】Python Programming in a Day & Excel Shortcuts  美国库房发货，通常付款后5-8周到货！ , 160.00
【预订】Python Programming Professional Made Easy & C Programming Professional Made Easy  美国库房发货，通常付款后5-8周到货！ , 171.00
【预订】Python Programming in a Day & C Programming Professional Made Easy  美国库房发货，通常付款后5-8周到货！ , 169.00
程序设计导论:Python语言实践(英文版) 罗伯特 9787111524014  全新正版图书 , 104.30
Python in 24 Hours, Sams Teach Yourself (2nd Edition) [ISBN: 978-0672336874]  美国发货无法退货，约五到八周到货 , 338.00
【预订】Python for Data Science for Dummies  美国库房发货，通常付款后5-8周到货！ , 215.00
【预订】Learning Python  美国库房发货，通常付款后5-8周到货！ , 441.00
【预订】High Performance Python: Practical Performant Programming for Humans  美国库房发货，通常付款后5-8周到货！ , 284.00
【预订】Webware for Python  美国库房发货，通常付款后5-8周到货！ , 444.00
【预订】Water Python  美国库房发货，通常付款后5-8周到货！ , 629.00
【预订】Kivy: Interactive Applications in Python  美国库房发货，通常付款后5-8周到货！ , 415.00
【预订】Make a Raspberry Pi-Controlled Robot: Building a Rover with Python, Linux, Motors, and Sensors  美国库房发货，通常付款后5-8周到货！ , 141.00
【预订】Python Essential Reference  美国库房发货，通常付款后5-8周到货！ , 322.00
【预订】Python Web Programming  美国库房发货，通常付款后5-8周到货！ , 442.00
【预订】Programming Google App Engine with Python: Build and Run Scalable Python Apps on Google's Infras  美国库房发货，通常付款后5-8周到货！ , 441.00
【预订】Monty Python: A Chronology, 1969-2012  美国库房发货，通常付款后5-8周到货！ , 544.00
【预订】Studyguide for Fundamentals of Python: From First Programs Through Data Structures by Lambert, K  美国库房发货，通常付款后5-8周到货！ , 404.00
【预订】Studyguide for Object-Oriented Programming in Python by Goldwasser, Michael H, ISBN 978013615031  美国库房发货，通常付款后5-8周到货！ , 319.00
【预订】Studyguide for Exploring Python by Budd, Timothy A., ISBN 9780073523378  美国库房发货，通常付款后5-8周到货！ , 347.00
【预订】Zum Bild Wird Hier Der Text - Parzival Und Der Gral Im Film: Monty Python and the Holy Grail, Pe  美国库房发货，通常付款后5-8周到货！ , 917.00
【预订】Python Scripting for Arcgis&nbsp;9781589483712  美国库房发货，通常付款后5-8周到货！ , 494.00
[预定]Core Python Programming  预订图书 国外库房直发 下订后 60日内发货 , 355.40
【预订】Building Machine Learning Systems with Python  美国库房发货，通常付款后5-8周到货！ , 597.00
【预订】Python Projects  美国库房发货，通常付款后5-8周到货！ , 348.00
【预订】Python Testing  美国库房发货，通常付款后5-8周到货！ , 332.00
【预订】Beginning Programming with Python for Dummies  美国库房发货，通常付款后5-8周到货！ , 264.00
【预订】Python 3 - Intensivkurs: Projekte Erfolgreich  美国库房发货，通常付款后5-8周到货！ , 764.00
【预订】Learning Python with Raspberry Pi  美国库房发货，通常付款后5-8周到货！ , 227.00
【预订】Annotated Algorithms in Python: With Applications in Physics, Biology, and Finance  美国库房发货，通常付款后5-8周到货！ , 389.00
【预订】Python for Beginners  美国库房发货，通常付款后5-8周到货！ , 196.00
【预订】Python Programming Fundamentals  美国库房发货，通常付款后5-8周到货！ , 424.00
The Python Quick Syntax Reference [ISBN: 978-1430264781]  美国发货无法退货，约五到八周到货 , 223.00
Practical Programming: An Introduction to Computer Science Using Python 3 (Pragmatic Programmers)  美国发货无法退货，约五到八周到货 , 299.00
Learning Python, 5th Edition  美国发货无法退货，约五到八周到货 , 510.00
面向设计师的编程设计知识系统PADKS--学习Python做个有编程能力的设计师  学习Python，做个有编程能力的设计师！ , 117.30
Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython  美国发货无法退货，约五到八周到货 , 314.00
Programming Computer Vision with Python: Tools and algorithms for analyzing images  美国发货无法退货，约五到八周到货 , 393.00
Pro Android Python with SL4A  美国发货无法退货，约五到八周到货 , 393.00
Fundamentals of Python: Data Structures  美国发货无法退货，约五到八周到货 , 314.00
Natural Language Processing with Python  美国发货无法退货，约五到八周到货 , 353.00
Python & XML  美国发货无法退货，约五到八周到货 , 314.00
An Introduction to Python [ISBN: 978-0954161767]  美国发货无法退货，约五到八周到货 , 193.00
【预订】SAA-Ba Mini-Yang Baa the Mighty Python: Only a  美国库房发货，通常付款后5-8周到货！ , 155.00
【预订】Monty Karel: A Gentle Introduction to the Art of Object-Oriented Programming in Python  美国库房发货，通常付款后5-8周到货！ , 283.00
【预订】Python Cookbook  美国库房发货，通常付款后5-8周到货！ , 384.00
【预订】Introduction to Python Programming and Developing  美国库房发货，通常付款后5-8周到货！ , 236.00
【预订】More Python Programming for the Absolute Beginner  美国库房发货，通常付款后5-8周到货！ , 268.00
【预订】Pro Android Python with Sl4a  美国库房发货，通常付款后5-8周到货！ , 519.00
【预订】Divinity and the Python  美国库房发货，通常付款后5-8周到货！ , 230.00
【预订】Python: Pocket Primer  美国库房发货，通常付款后5-8周到货！ , 226.00
Beginning Python [ISBN: 978-0764596544]  美国发货无法退货，约五到八周到货 , 338.00
Web Standards Programmer's Reference: HTML, CSS, JavaScript, Perl, Python, and PHP [ISBN: 978-0764588204]  美国发货无法退货，约五到八周到货 , 434.00
Python 2.1 Bible [ISBN: 978-0764548079]  美国发货无法退货，约五到八周到货 , 617.00
【预订】Practical Programming: An Introduction to Computer Science Using Python 3  美国库房发货，通常付款后5-8周到货！ , 398.00
Learn to Program Using Python: A Tutorial for Hobbyists, Self-Starters, and All  Who Want to Learn  the Art of Computer Programming [ISBN: 978-0201709384]  美国发货无法退货，约五到八周到货 , 318.00
Python:  The Complete Reference [ISBN: 978-0072127188]  美国发货无法退货，约五到八周到货 , 530.00
【预订】Python for Scientists&nbsp;9781107686427  美国库房发货，通常付款后5-8周到货！ , 463.00
【预订】Computing for Biologists: Python Programming and Principles&nbsp;9781107642188  美国库房发货，通常付款后5-8周到货！ , 607.00
【预订】Numerical Methods in Engineering with Python Y9781107435933  美国库房发货，通常付款后5-8周到货！ , 650.00
